Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude
1319 Green,18009074,Homrich,"$11,200.00 ",2/10/16,No,6,42.306876,-83.116669
14612 Terry,22042996,Homrich,"$17,500.00 ",2/10/16,No,1,42.396117,-83.191366
14845 Sussex,22046773,Homrich,"$16,300.00 ",2/10/16,No,1,42.397525,-83.195185
14850 Terry,22043010,Homrich,"$16,900.00 ",2/10/16,No,1,42.397671,-83.191433
15466 Cruse,22034167,Homrich,"$14,300.00 ",2/10/16,No,2,42.404791,-83.183196
1609 LANSING,16009802,Homrich,"$22,000.00 ",2/11/16,No,6,42.318092,-83.097911
18444 Biltmore,22064080,"Direct Construction Services, LLC","$6,725.02 ",2/10/16,No,2,42.425444,-83.21112
18900 Biltmore,22064089.02,"Direct Construction Services, LLC","$6,457.39 ",2/10/16,No,2,42.428535,-83.211313
10254 Goodwin,5004883,Rickman Enterprise Group,"$9,120.00 ",2/19/16,No,5,42.392587,-83.075654
113 Collingwood,2001575,Rickman Enterprise Group,"$11,860.00 ",2/18/16,No,5,42.389291,-83.088604
12906 Montrose,22053027,Homrich,"$13,700.00 ",2/17/16,No,1,42.383893,-83.200066
13247 Santa Rosa,16020772,Able Demolition,"$26,135.00 ",2/15/16,No,7,42.386149,-83.141992
13993 Winthrop,22052425,Homrich,"$14,700.00 ",2/17/16,No,1,42.38841,-83.199533
14003 Winthrop,22052424,Homrich,"$23,000.00 ",2/16/16,No,1,42.388522,-83.199539
14011 Winthrop,22052423,Homrich,"$13,400.00 ",2/16/16,No,1,42.388635,-83.199544
1438 Burlingame,6003105,Rickman Enterprise Group,"$8,010.00 ",2/19/16,No,5,42.387683,-83.10074
14915 Forrer,22054479,Homrich,"$18,200.00 ",2/17/16,No,1,42.398282,-83.201892
15075 SORRENTO,22024156,Homrich,"$14,500.00 ",2/16/16,No,2,42.40105,-83.172766
13476 Arlington,9013597,Able Demolition,"$10,100.00 ",2/17/16,No,3,42.412706,-83.072683
14420 Saratoga,21019066,Able Demolition,"$8,585.00 ",2/18/16,No,4,42.432609,-82.974709
2512 Lakewood,21054562,Able Demolition,"$16,160.00 ",2/10/16,No,4,42.380507,-82.949964
15095 Greenfield,22050859,Homrich,"$12,300.00 ",2/17/16,No,1,42.400295,-83.199149
18809 Lumpkin,9015412,Homrich,"$10,900.00 ",2/18/16,No,3,42.430703,-83.080644
2565 Fischer,17006034-5,Homrich,"$13,200.00 ",2/16/16,No,5,42.36512,-82.996342
2650 Hunt,11001124,Homrich,"$16,500.00 ",2/15/16,No,5,42.351523,-83.030187
331 Melbourne,1002484,Rickman Enterprise Group,"$16,020.00 ",2/15/16,No,5,42.378273,-83.073072
346 Leicester Ct,1002969,Rickman Enterprise Group,"$7,350.00 ",2/16/16,No,5,42.385349,-83.076485
4253 Lawton,12006421.002L,Homrich,"$15,200.00 ",2/15/16,No,6,42.342003,-83.091823
4625 Mt Elliott,13009832,Homrich,"$18,200.00 ",2/16/16,No,5,42.367581,-83.026239
4725 Tireman,16001952,Able Demolition,"$24,130.00 ",2/19/16,No,6,42.353416,-83.117699
5092 Parker,17008883,Homrich,"$16,800.00 ",2/17/16,No,5,42.377676,-83.01225
5141 Fischer,17005862-3,Homrich,"$19,600.00 ",2/18/16,No,5,42.380375,-83.007357
5204 Cooper,19006388,Homrich,"$13,900.00 ",2/18/16,No,4,42.383738,-83.000209
5532 Cadillac,19005118,Homrich,"$16,900.00 ",2/18/16,No,4,42.386683,-82.999322
575 E Euclid,3002202,Rickman Enterprise Group,"$9,200.00 ",2/15/16,No,5,42.38006,-83.070948
5805 Pennsylvania,19005853,Homrich,"$11,100.00 ",2/18/16,No,4,42.38822,-83.002654
581 Trowbridge,3002772,Rickman Enterprise Group,"$11,760.00 ",2/17/16,No,5,42.392439,-83.078877
